t[s],a[g]
7.98,0.007202834581
8.0,-0.2988453206
8.02,-0.2212481448
8.04,-0.137897175
8.06,-0.04191586547
8.08,0.2125863853
8.1,0.3670211675
8.12,0.3197115587
8.14,0.2420114843
8.16,0.2607696478
8.18,-0.1757191783
8.2,-0.140482705
8.22,0.2088284242
8.24,-0.07298292595
8.26,-0.1654432138
8.28,-0.07549368326
8.3,-0.335946819
8.32,-0.3325029014
8.34,0.02804019097
8.36,0.3229791871
8.38,0.307524174
8.4,0.03890664332
8.42,0.03732000142
8.44,0.08543694119
8.46,-0.3696020334
8.48,-0.7249010932
8.5,-0.6682078651
8.52,-0.6562217813
8.54,-0.535937024
8.56,-0.4142428022
8.58,-0.6731081593
8.6,-0.712358976
8.62,-0.3708218219
8.64,-0.2307603804
8.66,-0.04846502848
8.68,0.09652288053
8.7,-0.1711062669
8.72,-0.2778836761
8.74,-0.5081435409
8.76,-0.9387404176
8.78,-0.5638843582
8.8,-0.1784306235
8.82,-0.1174110786
8.84,0.08538377646
8.86,-0.02529664967
8.88,-0.215049099
8.9,-0.3161707739
8.92,-0.4596285859
8.94,-0.1075246479
8.96,0.04331289778
8.98,-0.009243133999
9.0,0.1856083723
9.02,0.06387015825
9.04,-0.1596692223
9.06,-0.1116039873
9.08,-0.1372031119
9.1,-0.1183391546
9.12,0.1399482303
9.14,0.1800953794
9.16,0.1257156287
9.18,-0.03934271601
9.2,-0.1657560063
9.22,-0.07317510298
9.24,-0.006023220476
9.26,-0.1439376613
9.28,-0.1412917752
9.3,0.01005301271
9.32,0.2198228436
9.34,0.4237786561
9.36,0.349109606
9.38,0.2723934308
9.4,0.2145715791
9.42,-0.1743724527
9.44,-0.2652458754
9.46,-0.1282147671
9.48,-0.184445622
9.5,0.08469420751
9.52,0.2482996143
9.54,0.1498816146
9.56,-0.05539748708
9.58,-0.2792016459
9.6,-0.1982981317
9.62,-0.09016485217
9.64,-0.1601683806
9.66,-0.05908707277
9.68,0.1026452293
9.7,0.1955838683
9.72,0.1681423196
9.74,-0.002980287466
9.76,-0.1197602573
9.78,0.02573260017
9.8,0.3322643504
9.82,0.3224642115
9.84,0.1531419995
9.86,0.2726040142
9.88,0.3091670823
9.9,0.3777035324
9.92,0.4529878684
9.94,0.5495816215
9.96,0.7282970142
9.98,0.5933612744
10.0,0.5967408522
10.02,0.5487102617
10.04,0.1792376805
10.06,0.2649472046
10.08,0.2312728178
10.1,-0.009378925099
10.12,0.1097628641
10.14,0.1324706971
10.16,-0.1042479181
10.18,-0.2584906841
10.2,-0.1651510728
