t[s],a[g]
10.78,-0.1819080617
10.8,-0.1962223206
10.82,-0.2989620542
10.84,-0.329460194
10.86,-0.222421001
10.88,-0.01698005477
10.9,-0.03018840102
10.92,-0.143185022
10.94,-0.3788945269
10.96,-0.3432664864
10.98,-0.3503138565
11.0,-0.5323828299
11.02,-0.4010217183
11.04,-0.4943244659
11.06,-0.6705194182
11.08,-0.5296519007
11.1,-0.4008750986
11.12,-0.3205214838
11.14,-0.2294164144
11.16,-0.1776694451
11.18,-0.1916751308
11.2,-0.2785320661
11.22,-0.2453256833
11.24,-0.309310612
11.26,-0.3058326326
11.28,-0.2220126793
11.3,-0.3778333419
11.32,-0.3140490298
11.34,-0.2048078005
11.36,-0.2826290853
11.38,-0.2466738766
11.4,-0.1826558838
11.42,0.006437850629
11.44,0.2557067948
11.46,0.3130580474
11.48,0.301488756
11.5,0.315036623
11.52,0.2526957721
11.54,0.01960640982
11.56,-0.0392836586
11.58,-0.08669164974
11.6,-0.2189316017
11.62,-0.04000964013
11.64,0.1695271672
11.66,0.3076867637
11.68,0.5786235135
11.7,0.5414594251
11.72,0.3987267076
11.74,0.3549158723
11.76,0.3165630919
11.78,0.394362976
11.8,0.2548951241
11.82,0.1311989314
11.84,0.2060941888
11.86,0.20398499
11.88,0.1158543959
11.9,-0.003577193395
11.92,-0.05366589133
11.94,-0.1490939276
11.96,-0.2157130735
11.98,0.02390339303
12.0,0.03640859109
12.02,0.0009099061399
12.04,0.1658817616
12.06,-0.01310329895
12.08,-0.0256130794
12.1,3.45329466e-05
12.12,-0.3140090626
12.14,-0.2732247712
12.16,-0.1571642595
12.18,-0.1710757322
12.2,-0.1139579346
12.22,-0.1881049111
12.24,-0.2463771871
12.26,-0.2145829004
12.28,-0.2487393783
12.3,-0.2112664292
12.32,-0.2244252071
12.34,-0.1872692015
12.36,-0.182411697
12.38,-0.2286679669
12.4,-0.1975167235
12.42,-0.1796933134
12.44,-0.0700017711
12.46,-0.01145552317
12.48,-0.1556471523
12.5,-0.145622055
12.52,-0.164787845
12.54,-0.3240511821
12.56,-0.2907730553
12.58,-0.3138929396
12.6,-0.2791377775
12.62,-0.04967326398
12.64,0.0919951723
12.66,0.2366104676
12.68,0.2430510594
12.7,0.1400647683
12.72,0.1751368118
12.74,0.199591854
12.76,0.207620641
12.78,0.1396718895
12.8,0.1266855763
12.82,0.2246644221
12.84,0.163864907
12.86,0.1471404892
12.88,0.2386339913
12.9,0.2081338298
12.92,0.266939521
12.94,0.2924467525
12.96,0.2870457938
12.98,0.3879479027
13.0,0.3442539858
13.02,0.2048440905
13.04,0.1260327485
13.06,0.03710721126
13.08,0.003085646361
13.1,-0.002569024895
13.12,-0.02806192984
13.14,-0.08623256927
13.16,-0.06978450468
13.18,0.06957849113
13.2,0.08725542812
13.22,0.1078810301
13.24,0.2181311926
13.26,0.1430224675
13.28,0.1365400776
13.3,0.2129663065
13.32,0.1725661777
13.34,0.2187433521
13.36,0.2729444656
13.38,0.1349642572
13.4,0.0009670692277
13.42,-0.06262192831
13.44,-0.2025376155
13.46,-0.3294169793
13.48,-0.303161549
13.5,-0.2489918468
13.52,-0.2367944457
13.54,-0.2525001981
13.56,-0.3622015337
13.58,-0.3594832663
13.6,-0.2407333526
13.62,-0.2106941828
13.64,-0.1967359338
13.66,-0.1032612827
13.68,-0.06622255977
13.7,-0.05195474998
13.72,0.01752487738
13.74,0.04872617733
13.76,0.1454909753
13.78,0.3193884527
13.8,0.3584539018
13.82,0.3529956392
13.84,0.3386943498
13.86,0.2478037964
13.88,0.1973496425
13.9,0.1456827068
13.92,0.1027780644
13.94,0.155070227
13.96,0.2305792046
13.98,0.2865317194
14.0,0.2320049918
14.02,0.1108975892
14.04,0.05796133425
14.06,-0.01959786599
14.08,-0.03515075088
14.1,0.02755914629
14.12,0.07695052483
14.14,0.1981394911
14.16,0.2680024204
14.18,0.289033011
14.2,0.2864211453
14.22,0.2346203877
14.24,0.2667893113
14.26,0.3061148987
14.28,0.2768309234
14.3,0.2210517163
14.32,0.1403519473
14.34,0.08611635613
14.36,0.02524616139
14.38,-0.09996118054
14.4,-0.1221201508
14.42,-0.07254699525
14.44,-0.04845535361
14.46,-0.02346877362
14.48,-0.0868180056
14.5,-0.1526333224
14.52,-0.1459309813
14.54,-0.1900849796
14.56,-0.2123062958
14.58,-0.2003308666
14.6,-0.2352294899
14.62,-0.2011841026
14.64,-0.1983733951
14.66,-0.2673887156
14.68,-0.2652478866
14.7,-0.281332438
14.72,-0.294847021
14.74,-0.2942646994
14.76,-0.3343169613
14.78,-0.3419186661
14.8,-0.3727798409
14.82,-0.4109751619
14.84,-0.380234328
14.86,-0.3187739083
14.88,-0.2650028704
14.9,-0.2071410543
14.92,-0.1809584151
14.94,-0.1983699559
14.96,-0.1947893049
14.98,-0.1512781084
15.0,-0.1371725226
15.02,-0.119852785
15.04,-0.04824578659
15.06,-0.008483850263
15.08,0.03774927156
15.1,0.06810469664
15.12,0.0620455376
15.14,0.05716491887
15.16,0.06405943006
15.18,0.06381773118
15.2,0.02675055254
15.22,0.001128597016
15.24,0.03692817889
15.26,0.04983252053
15.28,0.07087517074
15.3,0.1107246403
15.32,0.1150857616
15.34,0.1397961717
15.36,0.1761611604
15.38,0.1782792254
15.4,0.1733416743
15.42,0.1898001825
15.44,0.2223035286
15.46,0.2243508455
15.48,0.2152618299
15.5,0.1882028554
15.52,0.154552287
15.54,0.1492804558
15.56,0.1445160597
15.58,0.1194040852
15.6,0.09228050347
15.62,0.07352075183
15.64,0.07662738822
15.66,0.02286162534
15.68,-0.04044669285
15.7,-0.05589625237
15.72,-0.05793629878
15.74,-0.03527034914
15.76,-0.05273454863
15.78,-0.1151792388
15.8,-0.134219506
15.82,-0.1768322953
15.84,-0.2050369226
15.86,-0.1884686318
15.88,-0.1884873659
15.9,-0.1517745559
15.92,-0.1311347392
15.94,-0.1588606143
15.96,-0.1472467374
15.98,-0.1555327182
16.0,-0.1688272432
16.02,-0.1795609948
16.04,-0.1769347696
16.06,-0.1265351724
16.08,-0.1026101495
16.1,-0.08567857522
16.12,-0.05808083297
16.14,-0.05340573709
16.16,-0.01424905198
16.18,0.01704390239
16.2,0.04200362497
16.22,0.07044844164
16.24,0.06592911702
16.26,0.07180562947
16.28,0.0492101053
16.3,0.01114775607
16.32,0.02569842317
16.34,0.02089212032
16.36,0.01966700753
16.38,0.0188278351
16.4,0.004912416382
16.42,0.0116690473
16.44,0.03362637571
16.46,0.06510895465
16.48,0.07712839871
16.5,0.1120356396
16.52,0.1342397747
16.54,0.1020627102
16.56,0.1204690517
16.58,0.1081415449
16.6,0.08485108034
16.62,0.124085012
16.64,0.1072412939
16.66,0.1152108117
16.68,0.1401536028
16.7,0.1129852865
16.72,0.1003876562
16.74,0.03468108645
16.76,-0.002755423445
16.78,-0.005599315772
16.8,-0.04484342694
16.82,-0.0406105472
16.84,-0.06015698186
16.86,-0.06874329626
16.88,-0.0580483153
16.9,-0.1169004581
16.92,-0.1328352988
16.94,-0.1522416673
16.96,-0.1739392505
16.98,-0.1512962904
17.0,-0.1720046683
17.02,-0.1392367315
17.04,-0.102398118
17.06,-0.1002934277
17.08,-0.05348691202
17.1,-0.04794922534
17.12,-0.01830892139
17.14,0.02239635242
17.16,0.004788452731
17.18,0.009355005392
17.2,0.008647099972
17.22,0.02166473775
17.24,0.05393157481
17.26,0.06263627296
17.28,0.08302858907
17.3,0.08472356507
17.32,0.09294584273
17.34,0.08129057433
17.36,0.07556764717
17.38,0.1048660022
17.4,0.09688079824
17.42,0.1119380403
17.44,0.1367085441
17.46,0.1308954065
17.48,0.1630261233
17.5,0.1729648266
17.52,0.1674619436
17.54,0.1712302026
17.56,0.1645941365
17.58,0.1706979373
17.6,0.1715941211
17.62,0.1979833961
17.64,0.2180770718
17.66,0.2205546895
17.68,0.2669289052
17.7,0.2780625021
17.72,0.2873597052
17.74,0.2953802688
17.76,0.2671732181
17.78,0.2604774611
17.8,0.2332747121
17.82,0.1996269247
17.84,0.186326921
17.86,0.1594028984
17.88,0.1499489369
17.9,0.1346320553
17.92,0.1111031848
17.94,0.09402447475
17.96,0.08252791735
17.98,0.077223786
18.0,0.04995909737
18.02,0.03258243694
18.04,0.0004623027289
18.06,-0.03974665238
18.08,-0.0458500129
18.1,-0.0737779873
18.12,-0.09207368662
18.14,-0.0962556493
18.16,-0.1199485219
18.18,-0.1243740776
18.2,-0.1410976987
18.22,-0.1502844674
18.24,-0.1530745038
18.26,-0.1724373052
18.28,-0.1803315209
18.3,-0.1985291273
18.32,-0.2135064042
18.34,-0.2245615615
18.36,-0.2241265331
18.38,-0.1968369987
18.4,-0.1949829891
18.42,-0.1790460401
18.44,-0.163105474
18.46,-0.1725070046
18.48,-0.1562517933
18.5,-0.1687507899
18.52,-0.1844403694
18.54,-0.1825083891
18.56,-0.191143569
18.58,-0.1669332696
18.6,-0.1490125768
18.62,-0.1311752528
18.64,-0.1067181857
18.66,-0.08748272948
18.68,-0.04541719724
18.7,-0.03904985063
18.72,-0.03690065587
18.74,-0.02823841121
18.76,-0.04236301723
18.78,-0.02606253861
18.8,-0.02804726107
18.82,-0.02215412267
18.84,0.0190503589
18.86,0.03070020976
18.88,0.04420044373
18.9,0.04875739471
18.92,0.05092591541
18.94,0.05982397
18.96,0.05326700591
18.98,0.05441773063
19.0,0.03924916768
19.02,0.04004386616
19.04,0.04148156273
19.06,0.004412392961
19.08,-0.003412713188
19.1,-0.01975157222
19.12,-0.04001150332
19.14,-0.04719875776
19.16,-0.07423464429
19.18,-0.08102206074
19.2,-0.09525860406
19.22,-0.1157676129
19.24,-0.1243935711
19.26,-0.1371492425
19.28,-0.13117703
19.3,-0.137032897
19.32,-0.1376282118
19.34,-0.1414381088
19.36,-0.1595407401
19.38,-0.1549448079
19.4,-0.1731468715
19.42,-0.1850466558
19.44,-0.1860704444
19.46,-0.2091595651
19.48,-0.2040977153
19.5,-0.2088685222
19.52,-0.215052603
19.54,-0.204661552
19.56,-0.1963634481
19.58,-0.1635139413
19.6,-0.1433195499
19.62,-0.110863747
19.64,-0.07270073525
19.66,-0.05316181121
19.68,-0.00484418729
19.7,0.01715708421
19.72,0.04456868188
19.74,0.08758526275
19.76,0.09883994982
19.78,0.1309621737
19.8,0.1426496324
19.82,0.1480261618
19.84,0.1645322474
19.86,0.1614264282
19.88,0.1772061328
19.9,0.1773153149
19.92,0.1839627943
19.94,0.1993023629
19.96,0.1988837148
19.98,0.2270104073
