t[s],a[g]
10.34,-0.0658439356
10.36,-0.06425163897
10.38,-0.12582132
10.4,-0.08389104397
10.42,0.1566377849
10.44,0.1519879289
10.46,-0.03100083375
10.48,0.0008778155417
10.5,0.168673736
10.52,0.123740475
10.54,0.08247556725
10.56,0.117792357
10.58,-0.08685456402
10.6,-0.1512338849
10.62,-0.120159218
10.64,-0.07319126475
10.66,0.1187979509
10.68,-0.02410141944
10.7,-0.2079266673
10.72,-0.05304767679
10.74,-0.1960788757
10.76,-0.2828224343
10.78,-0.06410343772
10.8,-0.02780338997
10.82,0.01688732767
10.84,0.01921409544
10.86,0.08489903482
10.88,0.3488922692
10.9,0.2345552498
10.92,0.01387691956
10.94,-0.07736077236
10.96,-0.1224093438
10.98,-0.2347213844
11.0,-0.3057488485
11.02,-0.2957191815
11.04,-0.445288367
11.06,-0.5603064481
11.08,-0.5519628879
11.1,-0.3571179923
11.12,-0.1324930193
11.14,-0.1054180208
11.16,-0.01480546911
11.18,0.03125733268
11.2,-0.1800985143
11.22,-0.2427660739
11.24,-0.3482137896
11.26,-0.4437857244
11.28,-0.340588635
11.3,-0.4233624607
11.32,-0.3981949881
11.34,-0.2159632416
11.36,-0.2171747164
11.38,-0.218100989
11.4,-0.09001613831
11.42,0.0914834922
11.44,0.2815298273
11.46,0.4043732667
11.48,0.4009011856
11.5,0.3778514293
11.52,0.2697649045
11.54,-0.03649209242
11.56,-0.148620366
11.58,-0.2817544033
11.6,-0.4690900843
11.62,-0.3090243454
11.64,-0.0804478425
11.66,0.1048184164
11.68,0.3975302999
11.7,0.4664557317
11.72,0.3741547267
11.74,0.2851014901
11.76,0.2898657566
11.78,0.3482596652
11.8,0.1770081369
11.82,0.09322607337
11.84,0.1423138262
11.86,0.1136122952
11.88,-0.04570244995
11.9,-0.2064753275
11.92,-0.1876303898
11.94,-0.2842213036
11.96,-0.3491175705
11.98,-0.03654977633
12.0,0.0439445819
12.02,0.04837052158
12.04,0.1902542091
12.06,-0.01457692165
12.08,-0.05670784359
12.1,-0.07425605763
12.12,-0.3686145927
12.14,-0.2832562754
12.16,-0.1537019885
12.18,-0.1925273173
12.2,-0.1765800709
12.22,-0.2957530283
12.24,-0.3568594985
12.26,-0.2360866126
12.28,-0.2182433819
12.3,-0.06389457656
12.32,0.08442494555
12.34,0.1155456218
12.36,0.1177493799
12.38,0.04907235277
12.4,-0.03758730303
12.42,-0.02327175508
12.44,0.04391568798
12.46,0.04593923339
