f[Hz],a[cm/s^2]
0.3831894299,28.13288453
0.388165916,61.63541079
0.3931424021,89.14798661
0.3981188883,44.14161333
0.4030953744,76.14757227
0.4080718605,46.21610146
0.4130483466,138.5551013
0.4180248327,237.6609515
0.4230013188,165.1932641
0.4279778049,162.058017
0.432954291,88.89127553
0.4379307771,47.94939134
0.4429072632,101.0480738
0.4478837493,117.9493208
0.4528602354,121.8958059
0.4578367215,98.10092563
0.4628132076,79.01772291
0.4677896937,71.70337234
0.4727661798,100.0723755
0.4777426659,137.0235737
0.482719152,134.7140139
0.4876956381,180.437468
0.4926721242,194.3025275
0.4976486103,90.81299988
0.5026250964,67.26617068
0.5076015825,95.05771535
0.5125780686,103.5148576
0.5175545547,66.10542779
0.5225310408,149.3369465
0.5275075269,156.7798576
0.532484013,224.8029609
0.5374604991,260.7665446
0.5424369852,242.4809376
0.5474134713,166.0129335
0.5523899575,149.5290971
0.5573664436,144.1215032
0.5623429297,68.19549035
0.5673194158,138.1687729
0.5722959019,174.3415596
0.577272388,185.528116
0.5822488741,171.7226252
0.5872253602,278.3469059
0.5922018463,319.0332655
0.5971783324,181.084012
0.6021548185,102.5561089
0.6071313046,63.40687484
0.6121077907,133.5535255
0.6170842768,337.8417939
0.6220607629,373.983584
0.627037249,334.4545066
0.6320137351,143.1876228
0.6369902212,158.742745
0.6419667073,128.8001162
0.6469431934,151.1093225
0.6519196795,230.6648392
0.6568961656,219.4425099
0.6618726517,203.7623708
0.6668491378,150.5158866
0.6718256239,151.1414653
0.67680211,101.0271814
0.6817785961,127.3789906
0.6867550822,247.0673899
0.6917315683,312.7170172
0.6967080544,260.1095936
0.7016845405,194.9287951
0.7066610266,113.2755551
0.7116375128,201.1884845
0.7166139989,186.5702258
0.721590485,114.792077
0.7265669711,51.32250183
0.7315434572,69.0850675
0.7365199433,82.27120927
0.7414964294,150.4793918
0.7464729155,134.2926749
0.7514494016,157.5101866
0.7564258877,236.5519708
0.7614023738,191.2274253
0.7663788599,90.39558269
0.771355346,207.2626006
0.7763318321,254.5418169
0.7813083182,278.2333918
0.7862848043,189.026837
0.7912612904,123.2733656
0.7962377765,190.4089004
0.8012142626,106.1503726
0.8061907487,128.8480635
0.8111672348,127.4061375
0.8161437209,121.9373602
0.821120207,10.29177231
0.8260966931,63.49615738
0.8310731792,74.17279499
0.8360496653,76.58905476
0.8410261514,170.1951614
0.8460026375,157.2882769
0.8509791236,106.9155574
0.8559556097,69.62430182
0.8609320958,71.17297207
0.865908582,186.5829368
0.8708850681,215.278176
0.8758615542,140.7576615
0.8808380403,192.3284007
0.8858145264,279.1775972
0.8907910125,335.609746
0.8957674986,427.0906275
0.9007439847,411.3872053
0.9057204708,525.3413492
0.9106969569,455.60083
0.915673443,276.0274397
0.9206499291,134.0906245
0.9256264152,213.7468258
0.9306029013,248.6764934
0.9355793874,306.6249135
0.9405558735,266.3166276
0.9455323596,142.8628901
0.9505088457,135.892718
0.9554853318,164.2755134
0.9604618179,179.3484095
0.965438304,187.4654638
0.9704147901,130.8420329
0.9753912762,28.07247272
0.9803677623,33.12544601
0.9853442484,160.1235184
0.9903207345,253.516046
0.9952972206,221.832432
1.000273707,273.9721355
1.005250193,336.112584
1.010226679,436.2263426
1.015203165,403.9026912
1.020179651,329.5175534
1.025156137,138.5054708
1.030132623,91.67263996
1.035109109,159.3682713
1.040085596,143.4943987
1.045062082,203.3087741
1.050038568,140.4670479
1.055015054,130.0213121
