f[Hz],a[g]
13.56356356,-2.914528997
13.61361361,3.905238889
13.66366366,0.2344997194
13.71371371,0.4264928197
13.76376376,2.251266784
13.81381381,-6.11103442
13.86386386,-3.057318245
13.91391391,8.613093861
13.96396396,2.562538256
14.01401401,-9.074485841
14.06406406,10.83999547
14.11411411,-16.09905817
14.16416416,10.75028587
14.21421421,-6.432254824
14.26426426,13.97997262
14.31431431,-7.835365365
14.36436436,-4.715149009
14.41441441,-2.827899048
14.46446446,10.07832665
14.51451451,-9.372864112
14.56456456,12.35212751
14.61461461,-5.994434101
14.66466466,-6.790848318
14.71471471,2.764368661
14.76476476,0.06507363481
14.81481481,4.737572156
14.86486486,1.324310305
14.91491491,-2.665807414
14.96496496,-3.813632742
15.01501502,1.798228182
15.06506507,1.419211038
15.11511512,0.5417724041
15.16516517,4.046917223
15.21521522,-8.906014879
15.26526527,-0.2652021736
15.31531532,0.3811989398
15.36536537,5.898791044
15.41541542,8.509520127
15.46546547,-9.494647225
15.51551552,-5.218721193
15.56556557,3.833930317
15.61561562,2.158150992
15.66566567,-5.501467296
15.71571572,4.693962747
15.76576577,-1.631810759
15.81581582,1.411086356
15.86586587,-0.3139316458
15.91591592,-2.200135964
15.96596597,0.4946803266
16.01601602,0.2786651079
16.06606607,4.333635927
16.11611612,-2.722620118
16.16616617,-4.027058219
16.21621622,4.497012231
16.26626627,-2.191248889
16.31631632,3.513633913
16.36636637,-3.766850534
16.41641642,0.8685593036
16.46646647,-1.208326079
16.51651652,3.990067175
16.56656657,-1.402838289
16.61661662,-2.081087326
16.66666667,-1.509803371
16.71671672,3.457356319
16.76676677,-1.333728819
16.81681682,1.440035796
16.86686687,2.128312617
16.91691692,-5.862730857
16.96696697,1.351210708
17.01701702,2.542132239
17.06706707,-3.678736756
17.11711712,3.109104295
17.16716717,4.693350456
17.21721722,-10.59627891
17.26726727,0.9314653093
17.31731732,3.953840062
17.36736737,9.846483799
17.41741742,-9.008830451
17.46746747,-5.533968328
17.51751752,-1.286608321
17.56756757,9.963389745
17.61761762,-6.411512323
17.66766767,7.701739511
17.71771772,-8.659493765
17.76776777,7.482280153
17.81781782,-8.107806529
17.86786787,4.256525934
17.91791792,-0.05805774847
17.96796797,-0.7310343721
18.01801802,1.490265956
18.06806807,-1.657374138
18.11811812,1.380355802
18.16816817,-3.418937594
18.21821822,4.193635213
18.26826827,3.16435336
18.31831832,-5.936515999
18.36836837,-1.770054991
18.41841842,4.459444864
18.46846847,1.763485694
18.51851852,-6.446320822
18.56856857,2.330001474
18.61861862,-1.894012246
18.66866867,3.41892161
18.71871872,4.404843069
18.76876877,-5.697745104
18.81881882,-2.505468322
18.86886887,4.160859387
18.91891892,1.195219754
18.96896897,-0.09520756625
19.01901902,-8.142731257
19.06906907,4.838693345
19.11911912,6.749319543
19.16916917,-4.978445255
19.21921922,-4.409756087
19.26926927,2.841020974
19.31931932,4.488303726
19.36936937,2.825729523
19.41941942,-8.581945203
19.46946947,8.71214685
19.51951952,-12.97884904
19.56956957,4.283235573
19.61961962,11.3097984
19.66966967,-12.70049807
19.71971972,2.192886603
19.76976977,9.191316061
19.81981982,-8.681911601
19.86986987,-7.103896342
19.91991992,13.44763033
19.96996997,2.319554842
20.02002002,-0.609250113
20.07007007,0.3012321159
20.12012012,0.1058344019
20.17017017,-0.4034487613
20.22022022,0.02062367246
20.27027027,0.4158693301
20.32032032,0.1589190669
20.37037037,-0.6906841386
20.42042042,0.1954700819
20.47047047,0.3917200731
20.52052052,-0.121101811
20.57057057,-0.2585927251
20.62062062,-0.05760746565
20.67067067,0.6014430909
20.72072072,-0.5065566948
20.77077077,0.2194434444
20.82082082,-0.4350068943
20.87087087,0.03297363745
20.92092092,0.2826826958
20.97097097,0.2955300865
21.02102102,-0.3552021997
21.07107107,0.287258632
21.12112112,-0.0006781863018
21.17117117,-0.1825125165
21.22122122,-0.4271350578
21.27127127,0.1571782558
21.32132132,0.3174704566
21.37137137,0.05061633554
21.42142142,-0.05319058215
21.47147147,-0.1675562983
21.52152152,-0.124692968
21.57157157,0.6765865221
21.62162162,-0.5979867692
21.67167167,0.3468166617
21.72172172,-0.319112938
21.77177177,-0.1326082588
21.82182182,0.5936801685
21.87187187,-0.4134812347
21.92192192,-0.1405759092
21.97197197,0.1019194719
22.02202202,0.3918674057
22.07207207,-0.5489051337
22.12212212,0.6220852217
22.17217217,-0.4881813228
22.22222222,0.02748675081
22.27227227,0.2067494649
22.32232232,-0.2453863289
22.37237237,-0.02291516499
22.42242242,0.3348799819
22.47247247,0.4038666692
22.52252252,-0.5272737782
22.57257257,-0.4327915725
22.62262262,0.285316276
22.67267267,-0.05901831912
22.72272272,0.7292011286
22.77277277,-0.6403786415
22.82282282,0.2486089665
22.87287287,-0.425245247
22.92292292,0.02256275052
22.97297297,0.3849531652
23.02302302,-0.1526000172
23.07307307,0.2318193005
23.12312312,-0.4106517591
23.17317317,0.3416102714
23.22322322,0.1740321347
23.27327327,-0.4205383355
23.32332332,-0.0810881765
23.37337337,0.3192987467
23.42342342,-0.167797054
23.47347347,-0.01142124576
23.52352352,-0.06285661569
23.57357357,0.4611233579
23.62362362,-0.7134810023
23.67367367,0.616582021
23.72372372,-0.2243182512
23.77377377,-0.3403519485
23.82382382,0.4277762211
23.87387387,0.376333774
23.92392392,-0.2744039959
23.97397397,-0.4599794492
24.02402402,-0.3275773648
24.07407407,0.639800523
24.12412412,0.2138694532
24.17417417,-0.1617584522
24.22422422,-0.366393105
24.27427427,0.6262273668
24.32432432,-0.2274127562
24.37437437,-0.7003044866
24.42442442,0.6534468413
24.47447447,0.268869907
24.52452452,-0.2922134912
24.57457457,-0.3878146246
24.62462462,0.2381959812
24.67467467,0.171757938
24.72472472,-0.2637590052
24.77477477,0.2955029392
24.82482482,-0.1628497987
24.87487487,0.06760930771
24.92492492,0.3858156704
24.97497497,-0.5148166618
25.02502503,-0.1190112234
25.07507508,0.1202839577
25.12512513,0.3871778642
25.17517518,-0.1907773999
25.22522523,-0.1310523776
25.27527528,-0.3746551593
25.32532533,0.2851610164
25.37537538,0.3772028361
25.42542543,-0.3185496444
25.47547548,0.4074560742
25.52552553,-0.7540865854
25.57557558,0.05141905962
25.62562563,0.8053602584
25.67567568,-0.2165762426
25.72572573,-0.4948349725
25.77577578,0.1077259677
25.82582583,0.283183265
25.87587588,0.1188776034
25.92592593,-0.7122062547
25.97597598,0.372007731
26.02602603,0.3912474987
26.07607608,-0.2074414294
26.12612613,-0.07943535548
26.17617618,-0.4688628163
26.22622623,0.4533457955
26.27627628,0.4796135549
26.32632633,-0.2428984817
26.37637638,-0.7557379801
26.42642643,0.848644011
26.47647648,-0.2282915655
26.52652653,-0.3438941348
26.57657658,0.2500279316
26.62662663,-0.1467160773
26.67667668,0.2249396048
26.72672673,0.5262501655
26.77677678,-0.6513317704
26.82682683,-0.1757004478
26.87687688,0.09362739404
26.92692693,0.09466528257
26.97697698,0.1514484754
27.02702703,0.1402993438
27.07707708,-0.1075481059
27.12712713,-0.04688220393
27.17717718,-0.3455538793
27.22722723,-0.0123179082
27.27727728,0.7034767195
27.32732733,-0.1795944137
27.37737738,-0.3221101815
27.42742743,-0.2920628795
27.47747748,0.3262738417
27.52752753,0.2151464199
27.57757758,-0.1293740129
27.62762763,-0.3184999426
27.67767768,0.5169606965
27.72772773,-0.3066018068
27.77777778,0.2984926207
27.82782783,-0.281447401
27.87787788,-0.1490266135
27.92792793,0.1510969786
27.97797798,-0.03963932515
28.02802803,0.3213129984
28.07807808,-0.7949213218
28.12812813,0.688469389
28.17817818,0.1963334116
28.22822823,-0.5365630742
28.27827828,-0.1046675017
28.32832833,0.1703492702
28.37837838,0.4505508507
28.42842843,-0.4255968316
28.47847848,0.3486978562
28.52852853,-0.4111757161
28.57857858,0.2683248013
28.62862863,-0.2182237736
28.67867868,0.1759121875
28.72872873,-0.2192549316
28.77877878,-0.0916347167
28.82882883,0.5325876428
28.87887888,-0.3031511665
28.92892893,0.09895564657
28.97897898,0.4792227873
29.02902903,-0.8721763167
29.07907908,-0.08107055508
29.12912913,0.6632170166
29.17917918,-0.1409466278
29.22922923,-0.0421489746
29.27927928,0.03434234832
29.32932933,-0.3429411335
29.37937938,0.6334589465
29.42942943,-0.6336025912
29.47947948,-0.2049734418
29.52952953,0.8034589243
29.57957958,0.002500198863
29.62962963,-0.3865732121
29.67967968,-0.08053235
29.72972973,0.1714767763
29.77977978,-0.1396809896
29.82982983,-0.2452070074
29.87987988,0.5187014002
29.92992993,0.1089713047
29.97997998,-0.729814289
30.03003003,0.6542058318
30.08008008,-0.2397274128
30.13013013,0.1407343131
30.18018018,-0.3524922044
30.23023023,0.008892559484
30.28028028,0.2630173607
30.33033033,0.1903479334
30.38038038,-0.1964450512
30.43043043,-0.1535666853
30.48048048,-0.1298408935
30.53053053,0.5023213725
30.58058058,-0.1007377289
30.63063063,-0.2965496324
30.68068068,-0.0482492026
30.73073073,0.41640334
30.78078078,-0.04598754646
30.83083083,-0.4890351721
30.88088088,0.1824931717
30.93093093,0.5553649263
30.98098098,-0.5365977336
31.03103103,-0.1752792644
31.08108108,0.6264640204
31.13113113,-0.4238784484
31.18118118,-0.332623366
31.23123123,0.6744883254
31.28128128,-0.06304309711
31.33133133,-0.3805988448
31.38138138,0.002574975462
31.43143143,0.3747317526
31.48148148,0.1365669326
31.53153153,-0.635124523
31.58158158,0.2164195004
31.63163163,0.3364688577
31.68168168,-0.5458821342
31.73173173,0.4088210557
31.78178178,0.2029899636
31.83183183,-0.3891588024
31.88188188,-0.07747192229
31.93193193,0.1286823143
31.98198198,0.1793582417
32.03203203,0.1468319135
32.08208208,-0.2429488744
32.13213213,-0.3049411711
32.18218218,0.5491603048
32.23223223,-0.4022570275
32.28228228,0.02336277964
32.33233233,0.04821866069
32.38238238,0.6198739646
32.43243243,-0.8859518542
32.48248248,0.2075999131
32.53253253,0.4620736735
32.58258258,-0.4073345026
32.63263263,0.1304182267
